Ano ,UF do Municipio ,Valor FOB (US$) ,Quilograma Liquido
2001 ,ES ,2951918727 ,41034814787
2001 ,Exterior ,50868 ,8737
2001 ,GO ,451516478 ,1309780167
2001 ,MA ,571050051 ,3292526077
2001 ,MT ,868657922 ,3990639729
2001 ,MS ,158439868 ,1678045296
2001 ,MG ,5211337978 ,66761500576
2001 ,PA ,2224357175 ,54118521006
2001 ,PB ,105367690 ,108312282
2001 ,PR ,5191784689 ,14243599753
2001 ,PE ,301581404 ,605447652
2001 ,PI ,33889239 ,16621357
2001 ,RJ ,3278147507 ,29127698032
2001 ,RN ,176026396 ,684342146
2001 ,RS ,5927110570 ,8873893058
2001 ,RO ,72556850 ,123039144
2001 ,RR ,4828922 ,22941201
2001 ,SC ,3212394805 ,4289229704
2001 ,SP ,23521196395 ,32696304599
2001 ,SE ,21096001 ,12747873
2001 ,TO ,3847619 ,5340920
2000 ,AC ,409754 ,2327850
2000 ,Al ,199210023 ,906857849
2000 ,AP ,35246759 ,488613075
2000 ,AM ,778557812 ,167269839
2000 ,BA ,1905000000 ,4616532417
2000 ,CE ,502543924 ,229705207
2000 ,DF ,3071578 ,4169762
2000 ,ES ,3333499315 ,45592878355
2000 ,Exterior ,31012 ,630
2000 ,GO ,329462206 ,979512949
2000 ,MA ,733487382 ,3172371729
2000 ,MT ,608942300 ,2644870136
2000 ,MS ,199410757 ,2194792089
2000 ,MG ,5862635215 ,64459960963
2000 ,Não Declarada ,162616 ,145002
2000 ,PA ,2381795994 ,50311783291
2000 ,PB ,79719901 ,89222782
2000 ,PR ,4392106513 ,9770771759
2000 ,PE ,293685161 ,436150756
2000 ,PI ,52661721 ,18284701
2000 ,RJ ,2701668840 ,25368838808
2000 ,RN ,146943704 ,801680129
2000 ,RS ,5461261314 ,6214010220
2000 ,RO ,67777627 ,127132087
2000 ,RR ,4004208 ,24089875
2000 ,SC ,2788836405 ,3861404182
2000 ,SP ,22096349356 ,22008157200
2000 ,SE ,30272619 ,44736895
2000 ,TO ,4405632 ,1130740
1999 ,AC ,1397291 ,7692177
1999 ,Al ,189851459 ,961507474
1999 ,AP ,42432196 ,593736241
1999 ,AM ,441946522 ,144421179
1999 ,BA ,1578595051 ,4644932625
1999 ,CE ,402031673 ,205482308
1999 ,DF ,3047684 ,1944665
1999 ,ES ,3052064117 ,41095081318
1999 ,Exterior ,43780 ,3700
1999 ,GO ,231809771 ,641075795
1999 ,MA ,632654483 ,2052689193
1999 ,MT ,375647913 ,1672272144
1999 ,MS ,154369195 ,1796752414
1999 ,MG ,5999447610 ,61945475832
1999 ,Não Declarada ,49429 ,22692
1999 ,PA ,2082042893 ,47465633702
1999 ,PB ,58893083 ,68055201
1999 ,PR ,3788936535 ,10488668199
1999 ,PE ,256976416 ,563316533
1999 ,PI ,44812502 ,18876526
1999 ,RJ ,2490608429 ,19988929335
1999 ,RN ,101314503 ,553469132
1999 ,RS ,4641434905 ,5354343024
1999 ,RO ,65391744 ,133067487
1999 ,RR ,2312329 ,18124617
1999 ,SC ,2730923414 ,4301314473
1999 ,SP ,18551366971 ,23774204293
1999 ,SE ,19989526 ,51221986
1999 ,TO ,5517886 ,1233118
1998 ,AC ,1411278 ,2646492
