Ano,Descricao,Total,Quantidade
jan/11,Suco_de_laranja,61322949,12782167
jan/11,Soja,107134951,208095949
jan/11,Cafe,564534322,155535361
fev/11,Suco_de_laranja,79287309,5742595
fev/11,Soja,111012045,224881082
fev/11,Cafe,581678834,149109337
mar/11,Suco_de_laranja,43800847,9297206
mar/11,Soja,1383486048,2733616485
mar/11,Cafe,643255598,151866082
abr/11,Suco_de_laranja,43254458,5235908
abr/11,Soja,2417293269,5089786243
abr/11,Cafe,605443392,138596395
mai/11,Suco_de_laranja,35789658,5165375
mai/11,Soja,2558511249,5305717232
mai/11,Cafe,661242147,144242876
jun/11,Suco_de_laranja,89280170,4912315
jun/11,Soja,2231998393,4553505146
jun/11,Cafe,593730916,132429185
jul/11,Suco_de_laranja,65887892,6832275
jul/11,Soja,1841148599,3738040524
jul/11,Cafe,489329069,109023792
ago/11,Suco_de_laranja,109072203,10561959
ago/11,Soja,1898957277,3681758781
ago/11,Cafe,724986876,155792092
set/11,Suco_de_laranja,81555498,10975627
set/11,Soja,1458146614,2798346145
set/11,Cafe,779218542,160212796
out/11,Suco_de_laranja,82482522,11614147
out/11,Soja,739963658,1413186058
out/11,Cafe,828676993,172347168
nov/11,Suco_de_laranja,99371555,9115727
nov/11,Soja,878197383,1758847238
nov/11,Cafe,804926171,167177261
dez/11,Suco_de_laranja,96366372,10049795
dez/11,Soja,696235790,1469779422
dez/11,Cafe,747930900,158137166
jan/12,Suco_de_laranja,59291380,9369372
jan/12,Soja,461791913,1011707981
jan/12,Cafe,560267092,117247640
fev/12,Suco_de_laranja,133215161,54355892
fev/12,Soja,715515063,1568331088
fev/12,Cafe,532835056,119461451
mar/12,Suco_de_laranja,100110628,45233717
mar/12,Soja,2062711601,4236918758
mar/12,Cafe,512901219,120052832
abr/12,Suco_de_laranja,37659173,17027338
abr/12,Soja,2261503830,4430830149
abr/12,Cafe,437539218,105526914
mai/12,Suco_de_laranja,51529350,24153917
mai/12,Soja,3841228880,7275064364
mai/12,Cafe,428482261,108998729
jun/12,Suco_de_laranja,59568529,28789498
jun/12,Soja,2591946308,4841213912
jun/12,Cafe,366749946,101242772
jul/12,Suco_de_laranja,82427382,40689993
jul/12,Soja,2249733126,4129619684
jul/12,Cafe,378347721,109566414
ago/12,Suco_de_laranja,91301858,47981697
ago/12,Soja,1426016258,2430615779
ago/12,Cafe,467087071,137075958
set/12,Suco_de_laranja,102202806,54727468
set/12,Soja,1009436666,1681215994
set/12,Cafe,413106044,118300652
out/12,Suco_de_laranja,104606188,53097131
out/12,Soja,573738630,906884061
out/12,Cafe,572226340,160312561
nov/12,Suco_de_laranja,84299339,45052519
nov/12,Soja,166140844,258967125
nov/12,Cafe,529570653,150340440
dez/12,Suco_de_laranja,64702833,33010617
dez/12,Soja,90022497,135027957
dez/12,Cafe,539554652,157466650
jan/13,Suco_de_laranja,133443531,71343195
jan/13,Soja,257122,284016
jan/13,Cafe,469045840,141137187
fev/13,Suco_de_laranja,61071933,32015819
fev/13,Soja,516592214,959633412
fev/13,Cafe,363515969,113948427
mar/13,Suco_de_laranja,114156823,59244270
mar/13,Soja,1910515708,3536307549
mar/13,Cafe,424810763,137938194
abr/13,Suco_de_laranja,116067102,63207001
abr/13,Soja,3797342586,7154619294
