VALORES CORRENTES;;;;;;;;;;;;;;;;;;;;;;;
(1.000.000 R$);;;;;;;;;;;;;;;;;;;;;;;
Período;AGROPECUÁRIA;INDÚSTRIA;;;;;SERVIÇOS;;;;;;;;VA;Imposto;PIB;Consumo das Famílias;Consumo do Governo;Formação Bruta de Capital Fixo;Variação de Estoques;Exportação;Importação
;Total;Indústrias extrativas;Indústrias de transformação;Eletricidade e gás, água, esgoto, ativ. de gestão de resíduos;Construção;Total;Comércio;Transporte, armazenagem e correio;Informação e comunicação ;Atividades financeiras, de seguros e serviços relacionados;Atividades Imobiliárias;Outras atividades de serviços;Adm., defesa, saúde e educação públicas e seguridade social;Total;;;;;;;;;
2003.I;30.850;8.577;52.680;10.759;16.489;88.506;31.569;7.950;12.630;24.824;35.207;51.802;53.403;217.385;336.741;60.501;397.242;257.432;70.185;70.262;-5.652;63.031;58.016
2003.II;29.205;5.375;63.615;11.393;15.699;96.082;34.669;11.703;14.250;23.121;36.059;55.491;57.097;232.389;357.676;61.311;418.987;260.277;78.572;68.696;1.755;62.162;52.474
2003.III;25.418;8.137;67.082;12.848;17.352;105.419;35.955;15.559;15.806;30.031;36.565;58.055;55.341;247.311;378.148;61.202;439.350;267.445;82.553;71.785;5.204;66.754;54.391
2003.IV;20.477;10.235;64.879;13.109;18.339;106.561;37.899;14.654;17.837;31.517;38.178;61.213;69.815;271.114;398.152;64.220;462.372;277.306;96.431;74.519;3.021;68.852;57.759
2003;105.949;32.325;248.257;48.108;67.878;396.569;140.092;49.866;60.523;109.493;146.009;226.561;235.656;968.200;1.470.717;247.233;1.717.950;1.062.460;327.742;285.262;4.328;260.798;222.640
2004.I;34.343;7.079;62.957;14.113;18.630;102.779;36.435;13.281;16.244;24.355;37.461;58.736;56.264;242.776;379.899;64.885;444.783;274.159;76.588;76.797;5.596;66.313;54.670
2004.II;34.585;10.334;73.483;14.221;19.787;117.825;40.146;14.311;17.594;24.010;38.423;61.761;61.526;257.771;410.181;71.613;481.795;284.833;84.760;83.337;9.433;82.950;63.518
2004.III;25.124;12.357;78.353;14.269;22.097;127.076;43.177;14.848;18.768;28.739;39.617;64.595;64.558;274.301;426.501;78.751;505.252;301.881;90.362;90.684;1.330;90.341;69.346
2004.IV;16.860;11.057;80.817;14.765;21.543;128.183;44.873;15.066;22.736;31.212;43.135;66.007;77.329;300.358;445.401;80.519;525.920;317.821;109.840;88.268;-4.763;84.321;69.567
2004;110.913;40.828;295.611;57.367;82.057;475.863;164.631;57.505;75.343;108.316;158.635;251.099;259.679;1.075.206;1.661.982;295.769;1.957.751;1.178.695;361.549;339.087;11.596;323.925;257.102
