"Ano,Mes,""Codigo SH4"",""Descrição SH4"",""Valor FOB (US$)"""
"1998,10,1201,""Soja, mesmo triturada"",93218734"
"1998,11,1201,""Soja, mesmo triturada"",38660803"
"1998,12,1201,""Soja, mesmo triturada"",13282433"
"1998,02,1201,""Soja, mesmo triturada"",5371772"
"1998,01,1201,""Soja, mesmo triturada"",681933"
"1997,05,1201,""Soja, mesmo triturada"",504098587"
"1997,07,1201,""Soja, mesmo triturada"",494893812"
"1997,04,1201,""Soja, mesmo triturada"",462887400"
"1997,06,1201,""Soja, mesmo triturada"",395752981"
"1997,08,1201,""Soja, mesmo triturada"",291057057"
"1997,03,1201,""Soja, mesmo triturada"",156200973"
"1997,09,1201,""Soja, mesmo triturada"",104112390"
"1997,10,1201,""Soja, mesmo triturada"",32397210"
"1997,02,1201,""Soja, mesmo triturada"",4896148"
"1997,01,1201,""Soja, mesmo triturada"",4118740"
"1997,11,1201,""Soja, mesmo triturada"",1893282"
"1997,12,1201,""Soja, mesmo triturada"",118429"
